City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,chambersburg,39.9376,-77.6611,72.27,80,30,3.04,US,1628223633
241,celestun,20.8667,-90.4,81.81,78,8,15.88,MX,1628223636
242,bonavista,48.6499,-53.1147,66.11,77,99,13.76,CA,1628223637
243,yarada,17.65,83.2667,91.72,66,40,11.5,IN,1628223639
244,anloga,5.7947,0.8973,75.61,89,69,10.96,GH,1628223377
245,chokurdakh,70.6333,147.9167,45.37,70,99,10.71,RU,1628223642
246,roma,43.2128,-75.4557,67.41,90,40,0.0,US,1628223643
247,soanierana ivongo,-16.9167,49.5833,63.75,92,44,6.06,MG,1628223645
248,sola,-13.8833,167.55,78.58,72,5,1.23,VU,1628223646
249,nikolayevka,53.1257,47.2041,66.06,57,96,3.04,RU,1628223648
250,east london,-33.0153,27.9116,61.74,72,0,13.8,ZA,1628223650
251,lodja,-3.4833,23.4333,75.7,48,85,1.68,CD,1628223651
252,high rock,26.6208,-78.2833,78.82,74,98,11.65,BS,1628223653
253,navsari,20.9524,72.9324,84.09,81,100,14.0,IN,1628223654
254,la rioja,42.25,-2.5,58.78,89,62,1.5,ES,1628223656
255,severo-kurilsk,50.6789,156.125,56.43,62,3,14.61,RU,1628223658
256,maniitsoq,65.4167,-52.9,43.0,93,90,19.71,GL,1628223659
257,dudinka,69.4058,86.1778,78.3,48,37,4.54,RU,1628223661
258,padang,-0.9492,100.3543,87.85,60,74,4.34,ID,1628223663
259,edd,13.9297,41.6925,92.75,52,92,2.62,ER,1628223664
260,komsomolskiy,40.4272,71.7189,84.92,28,27,6.91,UZ,1628223666
261,novovarshavka,54.1721,74.6946,74.12,45,57,4.21,RU,1628223668
262,shenjiamen,29.9576,122.298,82.69,77,10,11.56,CN,1628223669
263,kaitangata,-46.2817,169.8464,54.93,58,21,4.59,NZ,1628223671
264,phatthalung,7.5,100.0833,89.55,53,95,8.63,TH,1628223672
265,cairns,-16.9167,145.7667,78.06,48,87,14.97,AU,1628223515
266,myanaung,18.2833,95.3167,76.91,93,100,6.44,MM,1628223675
267,shar,49.5886,81.0453,70.74,48,97,4.7,KZ,1628223677
268,lubango,-14.9172,13.4925,57.74,34,0,4.68,AO,1628223678
269,port hedland,-20.3167,118.5667,80.65,14,40,19.57,AU,1628223680
270,kita,13.0349,-9.4895,72.14,91,100,3.96,ML,1628223681
271,upernavik,72.7868,-56.1549,42.85,67,24,5.61,GL,1628223683
272,dera ismail khan,31.8327,70.9024,98.82,40,12,6.6,PK,1628223685
273,ingham,42.6,-84.3833,70.25,84,1,5.75,US,1628223686
274,tukrah,32.5341,20.5791,83.55,37,0,1.83,LY,1628223688
275,maunabo,18.0072,-65.8993,82.24,92,32,9.26,PR,1628223689
276,carutapera,-1.195,-46.02,74.68,88,3,3.74,BR,1628223691
277,vesyegonsk,58.664,37.2604,57.33,98,100,6.67,RU,1628223692
278,mujiayingzi,42.1167,118.7833,79.65,40,61,6.78,CN,1628223694
279,shaoyang,27.2315,111.4525,91.62,55,44,9.8,CN,1628223695
280,langsa,4.4683,97.9683,90.25,57,99,2.51,ID,1628223697
281,hirara,24.8,125.2833,89.87,79,75,20.71,JP,1628223699
282,nioro,13.35,-15.75,74.95,93,96,7.72,GM,1628223700
283,wajima,37.4,136.9,90.28,74,75,9.22,JP,1628223703
284,fukue,32.6881,128.8419,91.76,52,20,6.91,JP,1628223705
285,katsuura,35.1333,140.3,93.24,72,49,8.63,JP,1628223706
286,walvis bay,-22.9575,14.5053,53.1,93,1,5.75,NA,1628223708
287,dicabisagan,17.0818,122.4157,94.06,53,83,13.71,PH,1628223709
288,nadvoitsy,63.8667,34.3167,56.55,71,47,2.37,RU,1628223711
289,mazatlan,23.2167,-106.4167,85.01,83,75,1.01,MX,1628223712
290,zhenjiang,32.2092,119.4342,87.75,69,28,9.04,CN,1628223714
291,balikpapan,-1.2675,116.8289,85.19,79,20,3.44,ID,1628223715
292,urucui,-7.2294,-44.5561,73.87,43,27,3.53,BR,1628223717
293,kieta,-6.2167,155.6333,83.8,74,96,9.48,PG,1628223719
294,ampanihy,-24.7,44.75,62.28,56,1,5.41,MG,1628223431
295,cortez,37.3489,-108.5859,68.67,42,1,6.91,US,1628223612
296,vincennes,48.85,2.4333,64.0,83,90,1.01,FR,1628223723
297,kungurtug,50.5994,97.5228,62.51,79,94,2.89,RU,1628223724
298,kampene,-3.6,26.6667,71.46,71,52,2.48,CD,1628223726
299,bruchsal,49.1281,8.5836,63.23,95,100,3.76,DE,1628223728
300,rawson,-43.3002,-65.1023,59.02,45,100,8.39,AR,1628223729
301,husavik,66.0449,-17.3389,53.51,89,63,2.77,IS,1628223731
302,smirnykh,49.75,142.8333,56.91,99,100,5.79,RU,1628223732
303,yurino,56.2942,46.3039,65.52,53,46,4.05,RU,1628223734
304,kargil,34.5667,76.1,59.4,33,2,3.58,IN,1628223735
305,kisangani,0.5167,25.2,70.09,95,71,1.95,CD,1628223737
306,cidreira,-30.1811,-50.2056,60.55,94,100,15.52,BR,1628223738
307,angoche,-16.2325,39.9086,69.37,83,8,2.1,MZ,1628223740
308,constitucion,-35.3333,-72.4167,50.29,89,100,2.66,CL,1628223742
309,staryy nadym,65.6118,72.6842,73.67,53,92,6.13,RU,1628223676
310,ushtobe,45.2514,77.9838,83.53,25,12,16.82,KZ,1628223744
311,surt,31.2089,16.5887,84.16,43,0,10.51,LY,1628223746
312,wahpeton,46.2652,-96.6059,68.02,83,40,9.22,US,1628223533
313,kuito,-12.3833,16.9333,49.87,34,0,4.29,AO,1628223749
314,chino valley,34.7575,-112.4538,85.75,44,1,1.99,US,1628223750
315,morehead,37.2711,-87.1764,66.83,95,1,0.0,US,1628223752
316,awjilah,29.1081,21.2869,85.15,18,0,9.57,LY,1628223754
317,yeppoon,-23.1333,150.7333,73.18,45,97,7.67,AU,1628223755
318,ulladulla,-35.35,150.4667,70.88,49,0,7.16,AU,1628223757
319,raudeberg,61.9875,5.1352,58.19,78,100,6.69,NO,1628223758
320,manado,1.487,124.8455,93.97,52,40,3.44,ID,1628223585
321,cururupu,-1.8283,-44.8683,72.59,90,37,1.45,BR,1628223761
322,san jose,37.3394,-121.895,67.14,79,20,8.05,US,1628223488
323,port lincoln,-34.7333,135.8667,58.62,62,96,11.88,AU,1628223764
324,jalu,29.0331,21.5482,84.96,20,0,8.77,LY,1628223766
325,havoysund,70.9963,24.6622,54.48,83,53,3.96,NO,1628223769
326,cuauhtemoc,28.4167,-106.8667,62.73,61,30,2.35,MX,1628223532
327,abu dhabi,24.4667,54.3667,91.51,84,76,2.3,AE,1628223771
328,olds,51.7834,-114.102,74.84,49,60,10.36,CA,1628223773
329,kokstad,-30.5472,29.4241,51.3,44,2,4.97,ZA,1628223775
330,ilulissat,69.2167,-51.1,48.22,76,75,5.75,GL,1628223776
331,kavieng,-2.5744,150.7967,83.64,72,50,13.13,PG,1628223778
332,kysyl-syr,63.8986,122.7617,76.91,28,0,4.81,RU,1628223779
333,molchanovo,57.5817,83.7692,63.07,85,93,4.14,RU,1628223781
334,aasiaat,68.7098,-52.8699,39.87,97,100,12.26,GL,1628223782
335,slantsy,59.1182,28.0914,52.54,79,4,4.74,RU,1628223784
336,marienburg,54.0359,19.0266,64.06,71,100,10.71,PL,1628223786
337,algiers,36.7525,3.042,67.82,83,20,4.61,DZ,1628223619
338,leningradskiy,69.3833,178.4167,39.38,92,84,8.55,RU,1628223790
339,camabatela,-8.1881,15.375,59.11,94,48,3.42,AO,1628223791
340,kidal,18.4411,1.4078,80.8,54,99,12.37,ML,1628223793
341,vernon,50.2581,-119.2691,85.53,31,16,4.61,CA,1628223751
342,korsor,55.3299,11.1386,57.97,69,1,16.62,DK,1628223796
343,bilibino,68.0546,166.4372,72.18,43,9,8.12,RU,1628223797
344,saint-joseph,-21.3667,55.6167,66.58,69,21,9.04,RE,1628223558
345,marystown,47.1666,-55.1483,65.86,100,99,3.0,CA,1628223800
346,palmer,42.1584,-72.3287,66.92,85,90,0.0,US,1628223802
347,buala,-8.145,159.5921,82.58,66,59,8.7,SB,1628223803
348,qasigiannguit,68.8193,-51.1922,48.45,78,100,10.67,GL,1628223805
349,deputatskiy,69.3,139.9,38.34,90,100,5.55,RU,1628223806
350,souillac,-20.5167,57.5167,68.36,88,40,3.44,MU,1628223808
351,gallup,35.5281,-108.7426,76.01,26,1,3.0,US,1628223810
352,tazmalt,36.3868,4.3989,80.01,35,0,1.9,DZ,1628223811
353,banda aceh,5.5577,95.3222,87.55,59,38,14.65,ID,1628223813
354,emerald,-23.5333,148.1667,70.34,31,99,12.68,AU,1628223816
355,townsville,-19.25,146.8,70.68,28,0,11.5,AU,1628223817
356,arnes,60.1211,11.4663,57.4,84,72,2.01,NO,1628223819
357,pitsunda,43.1592,40.3378,77.18,74,19,1.41,GE,1628223820
358,henties bay,-22.116,14.2845,52.86,78,7,3.56,NA,1628223822
359,bocas del toro,9.3333,-82.25,81.07,82,30,3.91,PA,1628223823
360,sao joao da barra,-21.6403,-41.0511,67.87,79,57,6.64,BR,1628223531
361,maykor,59.0059,55.88,58.71,63,36,9.24,RU,1628223828
362,acarau,-2.8856,-40.12,77.79,77,25,14.27,BR,1628223831
363,chatra,24.2167,84.8667,84.18,64,89,0.83,IN,1628223832
364,marsh harbour,26.5412,-77.0636,83.16,78,19,14.05,BS,1628223834
365,nuuk,64.1835,-51.7216,43.41,100,90,19.57,GL,1628223835
366,never,46.9896,3.159,60.55,93,91,11.79,FR,1628223837
367,dali,25.7,100.1833,76.15,64,69,3.49,CN,1628223839
